product_id,sku,competitor_name,competitor_price,date,url
1,SKU0001,CompetitorX,310.5,2023-01-01,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,260.91,2023-01-01,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,265.5,2023-01-01,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,319.63,2023-01-01,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,264.62,2023-01-08,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,298.37,2023-01-08,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,349.63,2023-01-08,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,280.34,2023-01-08,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,263.77,2023-01-15,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,288.92,2023-01-15,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,328.1,2023-01-15,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,299.7,2023-01-15,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,250.75,2023-01-22,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,344.51,2023-01-22,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,310.03,2023-01-22,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,306.93,2023-01-22,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,314.79,2023-01-29,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,328.75,2023-01-29,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,338.6,2023-01-29,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,314.33,2023-01-29,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,260.85,2023-02-05,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,277.62,2023-02-05,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,284.78,2023-02-05,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,283.86,2023-02-05,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,245.76,2023-02-12,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,279.77,2023-02-12,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,351.9,2023-02-12,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,267.59,2023-02-12,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,336.57,2023-02-19,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,244.04,2023-02-19,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,329.14,2023-02-19,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,301.44,2023-02-19,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,283.13,2023-02-26,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,283.55,2023-02-26,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,329.39,2023-02-26,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,320.45,2023-02-26,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,326.92,2023-03-05,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,361.58,2023-03-05,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,252.0,2023-03-05,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,250.28,2023-03-05,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,251.96,2023-03-12,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,331.31,2023-03-12,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,273.01,2023-03-12,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,259.26,2023-03-12,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,303.81,2023-03-19,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,333.14,2023-03-19,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,247.85,2023-03-19,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,270.24,2023-03-19,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,334.87,2023-03-26,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,295.82,2023-03-26,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,362.19,2023-03-26,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,353.49,2023-03-26,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,274.41,2023-04-02,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,335.66,2023-04-02,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,302.7,2023-04-02,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,278.58,2023-04-02,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,297.69,2023-04-09,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,251.75,2023-04-09,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,301.24,2023-04-09,https://competitorz.com/product/sku0001
1,SKU0001,MarketLeader,258.97,2023-04-09,https://marketleader.com/product/sku0001
1,SKU0001,CompetitorX,299.67,2023-04-16,https://competitorx.com/product/sku0001
1,SKU0001,CompetitorY,261.23,2023-04-16,https://competitory.com/product/sku0001
1,SKU0001,CompetitorZ,310.26,2023-04-16,https://competitorz.com/product/sku0001
